ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
451,15.10968074,13.80748634,424,275,699,,
452,16.53470875,15.04576444,424,490,914,,
453,17.63907432,16.23578711,424,423,847,,
454,17.73521442,16.16201735,424,477,901,,
455,17.73521442,16.16201735,424,801,1225,,
456,18.09203102,16.76319798,424,192,616,,
457,18.42997984,16.34430891,424,213,637,,
458,19.07180105,17.50911064,424,248,672,,
459,19.93185454,17.96103046,424,464,888,,
460,20.25456265,18.15242955,424,436,860,,
461,20.52367965,18.10590591,424,451,875,,
462,21.95895302,26.01326673,424,457,881,,
463,21.95895302,26.01326673,424,750,1174,,
464,22.24115168,21.66869936,424,455,879,,
465,22.7825285,18.72651919,424,499,923,,
466,22.81627818,19.54596961,424,168,592,,
467,23.4068861,27.98273279,424,328,752,,
468,23.50358482,22.95534594,424,605,1029,,
469,23.52858289,22.40417477,424,488,912,,
470,24.14918752,22.80785157,424,383,807,,
471,24.58575923,29.46685159,424,412,836,,
472,25.60777821,20.98528721,424,891,1315,,
473,25.94105754,21.02128759,424,214,638,,
474,26.62962395,22.04892102,424,190,614,,
475,26.74227988,30.55779787,424,223,647,,
476,26.81817809,26.27091865,424,479,903,,
477,26.81817809,26.27091865,424,478,902,,
478,26.99286133,27.21612616,424,426,850,,
479,27.14271801,25.45931582,424,218,642,,
480,27.24621132,33.31144386,424,203,627,,
481,27.27238519,29.07613035,424,461,885,,
482,27.61681224,27.08564901,424,0,424,,
483,27.72196914,33.50529412,424,405,829,,
484,27.92732672,27.60969553,424,415,839,,
485,27.92732672,27.60969553,424,999,1423,,
486,28.10826087,33.48592876,424,178,602,,
487,28.10826087,33.48592876,424,252,676,,
488,28.17961392,23.01324236,424,497,921,,
489,28.46891621,33.84017988,424,264,688,,
490,28.49034959,34.8441652,424,437,861,,
491,28.69392001,26.49104252,424,515,939,,
492,28.85104396,23.28957237,424,682,1106,,
493,29.23138276,23.49675609,424,602,1026,,
494,29.37773584,34.79621272,424,278,702,,
